Symbol,Name,LastSale,IPOyear,MarketCap,Sector,Industry,Exchange
BLMN,"Bloomin&#39; Brands, Inc.",19.37,2012.0,1780129866.19,Consumer Services,Restaurants,NASDAQ
BCOR,"Blucora, Inc.",29.13,,1397374023.36,Finance,Finance: Consumer Services,NASDAQ
BLUE,"bluebird bio, Inc.",129.96,2013.0,7108085653.56,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
BPMC,Blueprint Medicines Corporation,70.02,2015.0,3077405257.5,Health Care,Major Pharmaceuticals,NASDAQ
BMCH,"BMC Stock Holdings, Inc.",16.61,2013.0,1118872687.9,Consumer Services,RETAIL: Building Materials,NASDAQ
WIFI,"Boingo Wireless, Inc.",23.08,2011.0,981149956.4,Consumer Services,Telecommunications Equipment,NASDAQ
BOKF,BOK Financial Corporation,81.77,,5939594377.86,Finance,Major Banks,NASDAQ
BKNG,Booking Holdings Inc.,1760.26,,81552117052.36,Miscellaneous,Business Services,NASDAQ
BPFH,"Boston Private Financial Holdings, Inc.",11.74,,990590441.2,Finance,Major Banks,NASDAQ
EPAY,"Bottomline Technologies, Inc.",50.0,1999.0,2154596600.0,Technology,Computer Software: Prepackaged Software,NASDAQ
BHF,"Brighthouse Financial, Inc.",36.43,,4320642881.76,Finance,Life Insurance,NASDAQ
AVGO,Broadcom Inc.,260.82,2009.0,106224396398.82,Technology,Semiconductors,NASDAQ
BPY,Brookfield Property Partners L.P.,17.45,,7109701121.05,Finance,Real Estate,NASDAQ
BPR,Brookfield Property REIT Inc.,17.45,,13390731197.7,Consumer Services,Real Estate Investment Trusts,NASDAQ
BRKL,"Brookline Bancorp, Inc.",14.56,,1171921208.64,Finance,Savings Institutions,NASDAQ
BRKS,"Brooks Automation, Inc.",29.07,1995.0,2091736762.83,Technology,Industrial Machinery/Components,NASDAQ
DOOO,BRP Inc.,30.46,,1310794957.66,Capital Goods,Industrial Specialties,NASDAQ
BRKR,Bruker Corporation,34.52,,5404722975.96,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
BLDR,"Builders FirstSource, Inc.",12.52,2005.0,1436356937.4,Consumer Services,RETAIL: Building Materials,NASDAQ
CHRW,"C.H. Robinson Worldwide, Inc.",88.67,1997.0,12192514527.31,Transportation,Oil Refining/Marketing,NASDAQ
CCMP,Cabot Microelectronics Corporation,97.29,2000.0,2792877275.25,Technology,Semiconductors,NASDAQ
CDNS,"Cadence Design Systems, Inc.",46.62,,13153460040.0,Technology,Computer Software: Prepackaged Software,NASDAQ
CZR,Caesars Entertainment Corporation,8.95,2012.0,5994110350.0,Consumer Services,Hotels/Resorts,NASDAQ
CSQ,Calamos Strategic Total Return Fund,11.68,2004.0,1806023410.56,,,NASDAQ
